RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
262,"Perry Jones, SF",OKC,62,12.3,-1.36,-0.55,-1.91,0.2
263,"Brandon Bass, PF",BOS,82,27.6,-1.49,-0.43,-1.92,0.6
264,"Glen Rice Jr., SG",WSH,11,9.9,-2.45,0.53,-1.92,0
265,"Ray McCallum, PG",SAC,45,19.9,0.4,-2.32,-1.92,0.2
266,"Tornike Shengelia, SF",CHI/BKN,26,6,-1.35,-0.59,-1.94,0
267,"Joel Freeland, C",POR,52,14,-3,1.03,-1.97,0.2
268,"Alexis Ajinca, C",NO,56,17,-2.89,0.92,-1.97,0.2
269,"Tobias Harris, SF",ORL,61,30.3,-0.94,-1.03,-1.97,0.4
270,"John Salmons, SF",SAC/TOR,78,22.1,-1.74,-0.25,-1.99,0.4
271,"Jonas Jerebko, PF",DET,64,11.6,-1.97,-0.02,-1.99,0.2
272,"Ricky Ledo, SG",DAL,11,3,-1.36,-0.64,-2,0
273,"Jermaine O'Neal, C",GS,44,20.1,-4.3,2.29,-2.01,0.2
274,"Drew Gooden, PF",WSH,22,18,-0.55,-1.47,-2.02,0.1
275,"Lou Williams, SG",ATL,60,24.1,1.7,-3.73,-2.03,0.3
276,"Royce White, PF",SAC,3,3,-2.03,0,-2.03,0
277,"Mirza Teletovic, PF",BKN,72,19.4,0.04,-2.08,-2.04,0.3
278,"Francisco Garcia, SG",HOU,55,19.7,-2.52,0.46,-2.06,0.2
279,"Tristan Thompson, C",CLE,82,31.6,-0.76,-1.3,-2.06,0.5
280,"Josh Powell, PF",HOU,1,19,-2.06,-0.02,-2.08,0
281,"Ramon Sessions, PG",MIL/CHA,83,26.7,0.9,-2.98,-2.08,0.4
282,"James Anderson, SG",PHI,80,28.9,-0.93,-1.15,-2.08,0.4
283,"Carrick Felix, SG",CLE,7,5.4,-1.26,-0.82,-2.08,0
284,"Justin Hamilton, C",MIA/CHA,8,9,-1.89,-0.22,-2.11,0
285,"Victor Claver, PF",POR,21,8.8,-1.99,-0.13,-2.12,0
286,"Greg Stiemsma, C",NO,55,18.3,-5.84,3.71,-2.13,0.1
287,"Rashard Lewis, PF",MIA,60,16.2,-1.89,-0.29,-2.18,0.1
288,"Tony Mitchell, PF",DET,21,3.8,-1.62,-0.58,-2.2,0
289,"Dorell Wright, SF",POR,68,14.5,-1.14,-1.09,-2.23,0.1
290,"Jon Leuer, PF",MEM,49,13.1,-1.15,-1.08,-2.23,0.1
291,"Scotty Hopson, SG",CLE,2,3.5,-1.55,-0.68,-2.23,0
292,"Quincy Acy, SF",SAC/TOR,63,13.4,-0.8,-1.44,-2.24,0.1
293,"Earl Watson, PG",POR,24,6.7,-1.98,-0.27,-2.25,0
294,"Cody Zeller, C",CHA,82,17.3,-3.04,0.79,-2.25,0.1
295,"Jamaal Franklin, SG",MEM,21,7.7,-1.45,-0.81,-2.26,0
296,"Rudy Gobert, C",UTAH,45,9.6,-4.05,1.79,-2.26,0
297,"Jeremy Evans, SF",UTAH,66,18.3,-2.78,0.5,-2.28,0.1
298,"Khris Middleton, SF",MIL,82,30,1.22,-3.5,-2.28,0.1
299,"Marcus Thornton, SG",BKN/SAC,72,24.2,0.05,-2.34,-2.29,0.1
300,"Phil Pressey, PG",BOS,75,15.1,-1.12,-1.17,-2.29,0
301,"Seth Curry, SG",CLE/MEM,2,6.5,-1.26,-1.04,-2.3,0
302,"D.J. Stephens, SG",MIL,3,5,-1.51,-0.79,-2.3,0
303,"Omri Casspi, SF",HOU,71,18.1,-2.64,0.33,-2.31,0
304,"Austin Daye, SF",SA/TOR,22,6.7,-1.94,-0.37,-2.31,0
305,"Carl Landry, PF",SAC,18,12.9,-1.23,-1.11,-2.34,0
306,"Chauncey Billups, PG",DET,19,16.3,-0.62,-1.76,-2.38,0
307,"Alan Anderson, SG",BKN,78,22.7,-1.16,-1.22,-2.38,0
308,"Charlie Villanueva, PF",DET,20,9,-1.46,-0.93,-2.39,0
309,"Ish Smith, PG",PHX,70,14.4,-3.32,0.92,-2.4,0
310,"Willie Green, SG",LAC,55,15.8,-1.3,-1.11,-2.41,0
311,"Jeff Green, SF",BOS,82,34.2,-2.14,-0.27,-2.41,-0.1
312,"Melvin Ely, C",NO,2,13.5,-1.81,-0.63,-2.44,0
313,"Reggie Evans, C",BKN/SAC,54,16.6,-2.59,0.15,-2.44,-0.1
314,"Austin Rivers, PG",NO,69,19.4,0.56,-3.03,-2.47,-0.1
315,"Robert Sacre, C",LAL,65,16.8,-2.56,0.06,-2.5,-0.1
